ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,EAN,Components,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,产品价格请标明币种,产品网络链接
6442,simple,4008,Cardiff hoodie,1,0,visible,"This is a cute hoodie that brings you amazing memory, listen, just get it![static_block_thumbnail id=""Select""]","This is a cotton hoodie with a huge Cardiff logo, all the families will happy to have it and it's a nice choice to gift ppl around u![static_block_thumbnail id=""Select""]",,,taxable,,1,15,1,notify,1,2,5,5,10,1,,"43,5",87,Top,,,https://allbun.ro/wp-content/uploads/2022/05/B1i3u9-Q-KS._CLa_21402000_B1VzQ1vOlS.png_00214020000.00.02140.02000.0_AC_UL1500_-1.jpeg,,,,,,,,,0,,s:0:"";,color,"lemon, peach, pink",1,1,location,"CN, EU, Others, RO",1,1,size,"M, S, XS",1,1,,
6443,simple,4980,lunchbox,1,,visible,Durable waterproof lunchbox,Leak Proof Durable Design;Microwave Safe Bento boxes;,,,taxable,,1,20,3,notify,,4,12,8,6,1,,35,70,Tools,,,file:///Users/yiwang/Desktop/未标题-1_0003_4.jpg,,,,,,,,,,,,color,"light purple,purple,transparent,champagne,blue,green",1,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6444,simple,VC01 Max,wireless vacuum,1,0,visible, Deerma Portable Wireless Vacuum Cleaner  and Light Weight VC01 Max Dust Cleaner,"Model Number:VC01Max
Bag Or Bagless:Bagless
Power (W):120
Voltage (V):220
After-sales Service Provided:None
Type:Handheld
Installation:HAND HELD
Function:Dry
Application:Hotel, Household
Power Source:Battery
Main Material:ABS, PC
Battery Capacity:2200mAh
Suction Power:8500pa
Lightweight Design:
As light as 1.6kg,
- 120KPa Powerful Suction:
Built-in powerful mini motor, high speed and strong power, it gives you 8500Pa suction force to easily pick up kinds of trash, like liquid, crumb, sand, hair, etc.
- 5 Kinds of Vacuuming Combinations:
The design of different vacuuming combinations is for you to clean different floors and different places easily and conveniently.
- New Foldable Air Filter:
Favorably prevents second pollution, and it is also with the structure of the triple filter cabin to clean the dust exhaust outlet and prevent clogging, ensuring long-lasting suction.
- 30min Long Endurance:
Its continuous time is up to 30min after being fully charged, so you can clean your house from the living room to the bedroom, from the first floor to the second floor.",,,taxable,,1,20000,1,notify,,2.35,759,151,198,1,,,,,,,,,,,,,,,,,,,,,,,location,CN,1,1,,,,,,
6445,simple,DX700,Vacuum Cleaner,1,0,visible,"Deerma DX700 2 In 1 Vacuum Cleaner, Portable Handheld & Upright Corded Light weight Bagless Vacuum Cleaner","Wind Tunnel Technology: Create channels of suction to lift and remove surface debris and deeply embedded dirt.
-Advanced Filtration System: Cyclone filtration, sponge filtration and HEPA filtration could capture 99.99% of the microscopic
dust.
-15Kpa Powerful Suction: Perfect for marble, tile and hardwood floor, pick up all surface debris and deeply embedded dirt, such as
cat litter, dog food crumbs, pet hair.
-Transparent Dust Cup: With a 0.8L visible dust cup, you will always know when to release dirt.
-3 Different Brushes: Easily convert from stick vacuum to Hand vacuum.
* The ground brushcan be used toclean rubbish that sticks to the ground.
* The crevice nozzlecan be usedto suction garbage in the gap,such as hair, pet hair and food.
* The cleaning brushcan be usedto clean sofa, bed and seat,etc.
-Lightweight and Portable: Quickly transform to a hand-held vacuum, best choice for home and office cleaning.
-Detachable and Washable: Easy to empty dirt cupand clean the HEPA filter.
-Thoughtful Design: Sturdy ergonomic handle. A 180-degree ground brush built with smooth gliding caster wheels.
Bag Or Bagless:Bagless
Power (W):600
Voltage (V):220
After-sales Service Provided:Return and Replacement
Type:Ultra Fine Air filter
Installation:HAND HELD
Function:Dry
Application:Garage, Household
Power Source:Electric
Main Material:ABS+PC
Suction Power:≥15000Pa
Noise Level:70-85dB
Dust Box Capacity:0.8L",,,taxable,,1,20001,1,notify,,12,677,340,80,1,,,,,,,,,,,,,,,,,,,,,,,location,CN,1,1,,,,,,
6446,simple,DX115C,Vacuum Cleaner,1,0,visible,Deerma DX115C Household Vacuum Cleaner with Mini Handheld Pushrod Cleaner Strong Suction Low Noise,"14Kpa Powerful Suction: Perfect for marble, tile and hardwood floor, pick up all surface debris and deeply embedded dirt, such as
cat litter, dog food crumbs, pet hair.
-Extra-large Dust Capacity: With a 1.2L dust cup, this vacuum requires less frequent emptying between uses.
-Advanced Filtration System: Cyclone filtration, HEPA filtration and sponge filtration can capture 99.99% of the microscopic dust.
-3 Different Brushes: Easily convert from stick vacuum to Hand vacuum.
The ground brushcan be used toclean rubbish that sticks to the ground and sweep under furniture.
The crevice nozzlecan be usedto suction garbage in the gap,such as hair, pet hair and food.
The cleaning brushcan be usedto clean sofa, bed and seat,etc.
-Lightweight and Portable: Quickly transform to a hand-held vacuum, best choice for home and office cleaning.
-Detachable and Washable: Easy to empty dirt cupand clean the filter.
Model Number:DX115C
Bag Or Bagless:Bagless
Power (W):600
Voltage (V):220
After-sales Service Provided:Return and Replacement
Type:Ultra Fine Air filter
Installation:HAND HELD
Function:Dry
Application:Household
Power Source:Electric
Main Material:ABS+PC
Noise Level:70-85dB
Working time:30mins
Suction Power:13-15Kpa
Dust Box Capacity:1.2L",,,taxable,,1,20002,1,notify,,18.3,595,491,403,1,,,,,,,,,,,,,,,,,,,,,,,location,CN,1,1,,,,,,
6447,simple,DX118C,Vacuum Cleaner,1,0,visible,Deerma DX118C Hepa Vacuum Cleaner with 14kpa Suction Power for Household,"14Kpa Powerful Suction: Perfect for marble, tile and hardwood floor, pick up all surface debris and deeply embedded dirt, such as
cat litter, dog food crumbs, pet hair.
-Extra-large Dust Capacity: With a 1.2L dust cup, this vacuum requires less frequent emptying between uses.
-Advanced Filtration System: Cyclone filtration, HEPA filtration and sponge filtration can capture 99.99% of the microscopic dust.
-3 Different Brushes: Easily convert from stick vacuum to Hand vacuum.
The ground brushcan be used toclean rubbish that sticks to the ground and sweep under furniture.
The crevice nozzlecan be usedto suction garbage in the gap,such as hair, pet hair and food.
The cleaning brushcan be usedto clean sofa, bed and seat,etc.
-Lightweight and Portable: Quickly transform to a hand-held vacuum, best choice for home and office cleaning.
-Detachable and Washable: Easy to empty dirt cupand clean the filter.
Model Number:DX118C
Bag Or Bagless:Bagless
Power (W):600
Voltage (V):220
After-sales Service Provided:Return and Replacement
Type:Ultra Fine Air filter
Installation:HAND HELD
Function:Dry
Application:Household
Power Source:Electric
Main Material:ABS+PC
Noise Level:70-85dB
Working time:30mins
Suction Power:13-15Kpa
Dust Box Capacity:1.2L",,,taxable,,1,20003,1,notify,,18.3,595,491,403,1,,,,,,,,,,,,,,,,,,,,,,,location,CN,1,1,,,,,,
6448,simple,TB500,Spray mop,1,0,visible,Deerma Household TB500Water Spray Mop with 350ml Water Tank Capacity,"Dry Quickly: no need to wait , let the children run at full time
-0.75kg Only: slim girls can also pick it up and clean the house without getting tired
-360° Rotating Mop Stick: can easily solve the difficult corners
-Carbon Fiber Cleaning Cloth: effectively lock dust, deep cleaning
Head Shape:Rectangle
Mop Rod Load-bearing:<10kg
Wringing Method:Folding Type
Mop Rod Type:Hoisting Rod + Plastic Tray
Dehydration Rate:40% -50%
Component Type:Plastic Basket + Plastic Pedal
Packaging:With 1 Mophead
Type:Single-drive
Capacity:301-500ml
Weight:<2kg
Absorption:<10 seconds
Pole Material:Steel
Mop Head Material:Synthetic Cloth
Handle Type:Cleaning
Main Material:ABS+PC",,,taxable,,1,20004,1,notify,,21,510,510,680,1,,,,,,,,,,,,,,,,,,,,,,,location,CN,1,1,,,,,,
6449,simple,DEM-F600,Humidifier,1,0,visible,"Deerma White pearl large screen humidifier
Smart large screen, instant humidifying and moisturizing with one touch","Real-time water temperature sensing
Two-stage filteration
5L large capacity
Sensitive touch wide panel
A touch of the fingertip
Sensitive touch control, giving quick response in 0.01 second*, touch and enjoy the fresh and moisturized world.
* The above data is sourced from Deerma Laboratory.
Two-stage filteration of fresh water and air
Smart sensing function provides private moisturized space
Airflow sensing x smart large screen
Real-time water temperature display to control micro-environment
The smart airflow ring detects the indoor ambient temperature in a real-time manner and displays the data on the smart large screen, so that you can know the temperature change in your home and make adjustments according to your need.
5L large capacity, saving the trouble of frequent refilling
Enjoy the ocean-like moisture
5L large capacity water tank, which is equivalent to 20 bottles of mineral water (250ml). Continuous humidification for 15 hours with the mist volume of 340ml/h.
Equivalent to 20 bottles of mineral water (250ml):
Continuous humidification for 15 hours with the mist volume of 340ml/h.
3 mist volumes
Free humidification as desired
The large screen clearly displays the mist volume. Touch the power button to adjust the 3 mist volumes, and enjoy the moistening day.
I mode
For spring and summer.
II mode
For air conditioning rooms in summer
III mode
For dry autumn and winter
Tips: The above mist volumes are for reference only. You can adjust the mist volume as desired.
12h timer + night mode
Customized humidification, moisturizing all night
By virtue of 12h timer, if you press and hold the TIME button, the night mode will be automatically activated, and the smart screen will automatically go out without disturbing you in your sleep.
Normal smart screen
Room temperature displayed in soft light
After TIME button is pressed and held
No temperature displayed
Product nameDeerma white pearl humidifier
FunctionUltrasonic atomization and humidification
Capacity5.0L
Rated power25W
Safety protectionWater shortage and power-off protection
ModelDEM-F600
MaterialsABS
Mist volume300±10% ML/H
Operating voltage220V~50Hz
Decibel≤36dB",,,taxable,,1,20005,1,notify,,10.05,648,435,355,1,,,,,,,,,,,,,,,,,,,,,,,location,CN,1,1,,,,,,
6450,simple,DEM-CS50MW,Mini Dehumidifier,1,0,visible,Deerma CS50M Mini Dehumidifier with Renewable Silica Gel Crystals for Wardrobe or Bookcase,"After-sales Service Provided:Return and Replacement
Application:Household
Power Source:Electric
Type:Desiccant Dehumidifier
Function:Automatic Defrost
Capacity (pints / 24h):120
Coverage Area (sq. ft.):0.05
Fan Speed:0
Power (W):20
Voltage (V):220
Water Tank Capacity (l):0
Working Temperature Range:20-80
Model Number:CS50M
Main Material:ABS+PC
-Renewable Silica Gel Crystals: Non-toxic, safe and spill-free silica gel crystal beads efficiently absorb damp and moisture from the air and give you a dry and fresh air.
-Rechargeable and Renewable: This dehumidifier can be charged for 12-15 hours in order to dry out the silica gel beads quickly for the next use. After each renewal, it can absorb damp and moisture from the air for 2-3 weeks.
-Ideal for Small Spaces: This compact and delicate unit is ideal for small spaces up to 5㎡, such as wardrobes, cabinets, jewelry boxes and gym bags.
-Cylinder Design: The area of traditional dehumidifier box is only around 150c㎡, while the area of DEERMA dehumidifier is 385c㎡ which is much bigger and be able to absorb more moisture.
-No Leakage, No Spillage: Unlike traditional dehumidification box, DEERMA dehumidifier absorb moisture, the crystal beads turn to dark green from orange and will never leak.",,,taxable,,1,20006,1,notify,,19.5,445,430,260,1,,,,,,,,,,,,,,,,,,,,,,,location,CN,1,1,,,,,,
